VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
1,1/26/2015 12:41,1/26/2015 12:48,2,1,-73.96663666,40.80465698,1,N,-73.95440674,40.8083725,credit card,7,0,0.5,1.55,0,0.3,9.35,0:07
1,1/26/2015 12:41,1/26/2015 12:55,1,4.3,-73.96664429,40.80441666,1,N,-73.99112701,40.76107025,cash,15.5,0,0.5,0,0,0.3,16.3,0:14
1,1/26/2015 12:41,1/26/2015 12:45,1,0.5,-73.98281097,40.74525452,1,N,-73.9800415,40.7520752,cash,4.5,0,0.5,0,0,0.3,5.3,0:04
1,1/26/2015 12:41,1/26/2015 12:45,1,0.8,-73.99149323,40.73893738,1,N,-73.98859406,40.73051071,cash,5,0,0.5,0,0,0.3,5.8,0:04
1,1/26/2015 12:41,1/26/2015 13:05,1,1.1,-73.98239136,40.75740814,1,N,-73.9686203,40.76152039,credit card,14.5,0,0.5,3.05,0,0.3,18.35,0:24
1,1/26/2015 12:41,1/26/2015 13:00,1,2.9,-73.97307587,40.78036118,1,N,-73.98625946,40.74664307,cash,14,0,0.5,0,0,0.3,14.8,0:19
1,1/26/2015 12:41,1/26/2015 12:44,1,0.3,-73.97181702,40.75690079,1,N,-73.97454834,40.75173569,cash,4,0,0.5,0,0,0.3,4.8,0:03
1,1/26/2015 12:41,1/26/2015 12:59,1,3.5,-73.9734726,40.74392319,1,N,-73.98201752,40.77973557,credit card,15,0,0.5,3.15,0,0.3,18.95,0:18
1,1/26/2015 12:41,1/26/2015 12:49,1,1.2,-74.01268005,40.7068367,1,N,-74.01604462,40.71485901,cash,8,0,0.5,0,0,0.3,8.8,0:08
1,1/26/2015 12:41,1/26/2015 12:51,1,1.3,-73.97639465,40.74840164,1,N,-73.99404907,40.74616241,credit card,8,0,0.5,1,0,0.3,9.8,0:10
1,1/26/2015 12:41,1/26/2015 12:52,1,1.9,-73.98925018,40.74198532,1,N,-74.00258636,40.76076889,credit card,10,0,0.5,2.7,0,0.3,13.5,0:11
1,1/26/2015 12:41,1/26/2015 12:48,1,1,-73.98735046,40.74944687,1,N,-74.0040741,40.75583267,credit card,6.5,0,0.5,1.46,0,0.3,8.76,0:07
1,1/26/2015 12:41,1/26/2015 12:59,1,8.1,-73.86384583,40.76979446,1,N,-73.96227264,40.71165466,credit card,24.5,0,0.5,5.05,0,0.3,30.35,0:18
1,1/26/2015 12:41,1/26/2015 12:46,1,1,-73.96928406,40.7611351,1,N,-73.97253418,40.74954605,cash,5.5,0,0.5,0,0,0.3,6.3,0:05
1,1/26/2015 12:41,1/26/2015 12:47,2,1.6,-74.00725555,40.72868347,1,N,-73.99505615,40.75000381,credit card,7,0,0.5,1.95,0,0.3,9.75,0:06
1,1/26/2015 12:41,1/26/2015 12:54,1,1.6,-73.98120117,40.73318481,1,N,-73.97855377,40.74808884,credit card,10,0,0.5,1,0,0.3,11.8,0:13
1,1/26/2015 12:41,1/26/2015 13:00,1,3.2,-73.99229431,40.75383759,1,N,-73.99629974,40.74049759,credit card,14.5,0,0.5,3.05,0,0.3,18.35,0:19
1,1/26/2015 12:41,1/26/2015 12:46,1,1,-73.96748352,40.76601028,1,N,-73.96095276,40.77795029,credit card,6,0,0.5,1,0,0.3,7.8,0:05
1,1/26/2015 12:41,1/26/2015 12:56,1,2.2,-73.95759583,40.7745285,1,N,-73.98458862,40.76975632,cash,12,0,0.5,0,0,0.3,12.8,0:15
1,1/26/2015 12:41,1/26/2015 12:47,1,0.7,-73.95232391,40.7770462,1,N,-73.96235657,40.77733612,cash,6,0,0.5,0,0,0.3,6.8,0:06
1,1/26/2015 12:41,1/26/2015 13:07,1,4.2,-73.98628235,40.74683762,1,N,-73.944664,40.7950058,cash,19.5,0,0.5,0,0,0.3,20.3,0:26
1,1/26/2015 12:41,1/26/2015 13:03,2,16.3,-73.9983902,40.7616806,3,N,-74.17723846,40.69504166,credit card,60.5,0,0,15.3,15.75,0.3,91.85,0:22
2,1/7/2015 14:58,1/7/2015 15:23,1,3.12,-73.96896362,40.7641449,1,N,-73.99299622,40.72700119,credit card,17,0,0.5,2.22,0,0.3,20.02,0:25
1,1/15/2015 10:26,1/15/2015 10:30,1,0.8,-73.97223663,40.74559402,1,N,-73.96466827,40.75601959,credit card,5.5,0,0.5,1,0,0.3,7.3,0:04
1,1/15/2015 10:26,1/15/2015 10:42,1,1.9,-73.94948578,40.77207184,1,N,-73.97072601,40.75839233,cash,12.5,0,0.5,0,0,0.3,13.3,0:16
1,1/15/2015 10:26,1/15/2015 10:51,1,2.6,-73.96176147,40.76427078,1,N,-73.98921967,40.74206543,credit card,16,0,0.5,3.35,0,0.3,20.15,0:25
1,1/15/2015 10:26,1/15/2015 10:38,1,0.8,-73.99343872,40.74200058,1,N,-73.98744965,40.75202179,credit card,8.5,0,0.5,1.85,0,0.3,11.15,0:12
1,1/15/2015 10:26,1/15/2015 10:49,2,6.8,-73.97297668,40.7611351,1,N,-74.00971222,40.70956421,credit card,23,0,0.5,4.5,0,0.3,28.3,0:23
1,1/15/2015 10:26,1/15/2015 10:34,1,1.3,-73.94763947,40.77514267,1,N,-73.96069336,40.76080704,credit card,7.5,0,0.5,1,0,0.3,9.3,0:08
